name,combined_features
STAR WARS™ Jedi Knight - Jedi Academy™,Action Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud Star Wars;Action;Sci-fi
STAR WARS™ Jedi Knight II - Jedi Outcast™,Action Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud Star Wars;Action;Classic
The Dig®,Adventure Single-player;Steam Cloud Adventure;Point & Click;Sci-fi
"Star Wars: Battlefront 2 (Classic, 2005)",Action Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud Star Wars;Action;Multiplayer
Thrillville®: Off the Rails™,Action;Adventure;Racing;Simulation;Strategy Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud Simulation;Strategy;Action
Armed and Dangerous®,Action Single-player;Steam Cloud Action;Comedy;Third-Person Shooter
Shank,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud Action;Indie;Beat 'em up
Ghost Master®,Strategy Single-player Strategy;Comedy;Puzzle
Vegas: Make It Big™,Strategy Single-player Strategy;Simulation;Management
FlatOut,Racing Single-player;Multi-player Racing;Destruction;Driving
Making History: The Calm & the Storm,Action;Strategy Single-player;Multi-player Strategy;Action;Grand Strategy
Ducati World Championship,Racing Single-player;Multi-player Racing;Simulation
Dreamfall: The Longest Journey,Adventure;RPG Single-player Adventure;Female Protagonist;Story Rich
The Longest Journey,Action;Adventure;RPG Single-player Adventure;Point & Click;Female Protagonist
Bloodline Champions,Action;Free to Play;Massively Multiplayer Single-player;Multi-player;MMO Free to Play;Action;MOBA
Joint Task Force,Action;Strategy Single-player;Multi-player;Co-op;Shared/Split Screen Strategy;Action;RTS
Nexus - The Jupiter Incident,Indie;Simulation;Strategy Single-player;Multi-player;Includes level editor Strategy;Space;Sci-fi
Lost Planet™: Extreme Condition,Action;Adventure Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled Action;Adventure;Third-Person Shooter
Devil May Cry® 3 Special Edition,Action Single-player;Partial Controller Support Action;Hack and Slash;Great Soundtrack
Commandos: Behind Enemy Lines,Action Single-player;Multi-player;Co-op Strategy;Stealth;Action
Commandos: Beyond the Call of Duty,Action Single-player;Multi-player;Co-op Action;Strategy;Tactical
Commandos 2: Men of Courage,Action Single-player;Multi-player;Co-op Strategy;Tactical;Stealth
Commandos 3: Destination Berlin,Action Single-player;Multi-player;Co-op Strategy;Action;Tactical
Hitman 2: Silent Assassin,Action Single-player Stealth;Action;Third Person
Hitman: Blood Money,Action Single-player Stealth;Action;Third Person
Battlestations: Midway,Action Single-player Action;World War II;Naval
Just Cause,Action Single-player Action;Open World;Shooter
Hitman: Codename 47,Action Single-player Stealth;Action;Classic
Deus Ex: Game of the Year Edition,Action Single-player;Multi-player Cyberpunk;RPG;Stealth
Deus Ex: Invisible War,Action Single-player Cyberpunk;Action;FPS
Thief: Deadly Shadows,Action Single-player Stealth;Atmospheric;Action
Tomb Raider: Legend,Action;Adventure Single-player;Partial Controller Support Adventure;Action;Female Protagonist
Project: Snowblind,Action Single-player;Multi-player Action;FPS;Cyberpunk
Rogue Trooper,Action Single-player;Multi-player;Co-op Action;Third-Person Shooter;Sci-fi
Jade Empire™: Special Edition,RPG Single-player;Partial Controller Support RPG;Fantasy;Story Rich
Trackmania United Forever Star Edition,Racing Single-player;Multi-player;Includes level editor Racing;Multiplayer;Level Editor
"Runaway, A Road Adventure",Adventure Single-player Adventure;Point & Click;Mystery
"Runaway, The Dream of The Turtle",Adventure Single-player Adventure;Point & Click;Mystery
Loki,RPG Single-player;Multi-player RPG;Hack and Slash;Action
Azada,Casual;Indie Single-player Casual;Indie;Puzzle
X-Blades,Nudity;Violent;Action;Adventure;RPG Single-player;Steam Trading Cards;Partial Controller Support Action;Hack and Slash;Female Protagonist
Two Worlds II HD,Nudity;Violent;RPG Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud RPG;Open World;Fantasy
Two Worlds II Castle Defense,Strategy Single-player;Steam Trading Cards;Steam Cloud Strategy;Tower Defense;Fantasy
Sid Meier's Railroads!,Strategy Single-player;Multi-player Strategy;Trains;Management
Railroad Tycoon 3,Strategy Single-player;Multi-player Strategy;Management;Trains
Railroad Tycoon II Platinum,Strategy Single-player Strategy;Management;Trains
X-COM: Terror From the Deep,Strategy Single-player Strategy;Turn-Based;Sci-fi
X-COM: Apocalypse,Strategy Single-player Strategy;Turn-Based;Tactical
X-COM: Interceptor,Strategy Single-player;Multi-player Strategy;Sci-fi;Space
X-COM: UFO Defense,Strategy Single-player Strategy;Classic;Turn-Based Strategy
X-COM: Enforcer,Strategy Single-player;Multi-player Strategy;Action;Shooter
Men of War™,Strategy Single-player;Multi-player;Steam Cloud;Includes level editor Strategy;World War II;RTS
Death Track®: Resurrection,Racing Single-player;Steam Cloud Racing;Action;Shooter
NecroVision,Action Single-player;Multi-player;Steam Cloud Action;FPS;World War I
Call of Duty® 4: Modern Warfare®,Action Single-player;Multi-player FPS;Action;Multiplayer
Tomb Raider: Anniversary,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Female Protagonist
Kane and Lynch: Dead Men™,Action Single-player;Multi-player;Shared/Split Screen;Partial Controller Support Action;Third-Person Shooter;Crime
Conflict: Denied Ops,Action Single-player Action;FPS;Singleplayer
Tomb Raider: Underworld,Action;Adventure Single-player Adventure;Action;Female Protagonist
Battlestations Pacific,Action;Strategy Single-player;Multi-player;Partial Controller Support World War II;Strategy;Action
Just Cause 2,Action;Adventure Single-player;Steam Achievements;Full controller support;Steam Cloud Open World;Action;Sandbox
Bone: Out From Boneville,Adventure Single-player Adventure;Point & Click
Bone: The Great Cow Race,Adventure Single-player Adventure;Point & Click
Telltale Texas Hold ‘Em,Casual Single-player Casual;Card Game
Strong Bad's Cool Game for Attractive People: Season 1,Adventure Single-player Adventure;Point & Click;Comedy
Geometry Wars: Retro Evolved,Casual Single-player;Full controller support Arcade;Twin Stick Shooter;Casual
EVE Online,Action;Free to Play;Massively Multiplayer;RPG;Strategy Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards Space;Massively Multiplayer;Sci-fi
RACE 07,Racing Single-player;Multi-player Racing;Simulation;Driving
GTR 2 FIA GT Racing Game,Racing;Simulation;Sports Single-player;Multi-player Racing;Simulation;Sports
Civilization IV: Beyond the Sword,Strategy Single-player Strategy;Turn-Based Strategy;4X
BioShock Infinite,Action Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud FPS;Story Rich;Action
Freedom Force,RPG;Strategy Single-player;Multi-player RPG;Strategy;Superhero
Freedom Force vs. the Third Reich,RPG;Strategy Single-player;Multi-player RPG;Strategy;Superhero
Sid Meier's Civilization® V,Strategy Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud Turn-Based Strategy;Strategy;Turn-Based
Axel & Pixel,Indie Single-player;Steam Achievements Indie;Point & Click
Spear of Destiny,Action Single-player;Steam Cloud Action;FPS;Classic
Return to Castle Wolfenstein,Action Single-player;Multi-player;Steam Cloud FPS;Action;Classic
QUAKE Mission Pack 2: Dissolution of Eternity,Action Single-player;Multi-player;Steam Cloud Action;FPS;Shooter
QUAKE Mission Pack 1: Scourge of Armagon,Action Single-player;Multi-player;Steam Cloud Action;FPS;Shooter
DOOM 3,Action Single-player;Multi-player;Steam Cloud Horror;FPS;Action
HeXen II,Action Single-player;Multi-player;Co-op;Steam Cloud Action;FPS;Classic
Master Levels for Doom II,Action Single-player;Steam Cloud Action;FPS;Classic
Commander Keen,Action Single-player;Steam Cloud Platformer;Classic;Action
RAGE,Action Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support FPS;Post-apocalyptic;Action
"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy Single-player;Multi-player Strategy;Warhammer 40K;RTS
Company of Heroes: Opposing Fronts,Action;Strategy Single-player;Multi-player;Steam Cloud Strategy;RTS;Action
Supreme Commander,Strategy Single-player;Multi-player Strategy;RTS;Sci-fi
Supreme Commander: Forged Alliance,Strategy Single-player;Multi-player Strategy;RTS;Sci-fi
"Warhammer® 40,000: Dawn of War® - Soulstorm",Strategy Single-player;Multi-player;Steam Cloud Warhammer 40K;Strategy;RTS
Frontlines™: Fuel of War™,Action Single-player;Co-op;Steam Cloud Action;FPS;Shooter
Saints Row 2,Action Single-player;Steam Cloud Open World;Action;Character Customization
Gish,Indie Single-player;Multi-player Indie;Platformer;Physics
Desperados 2: Cooper's Revenge,Action Single-player Action;Western;Strategy
Act of War: High Treason,Action Single-player;Multi-player Action;Strategy;RTS
Death to Spies,Action;Adventure Single-player;Steam Cloud Stealth;Action;Adventure
Codename: Panzers - Cold War,Simulation;Strategy Single-player;Multi-player;Co-op Strategy;Simulation;RTS
Champions Online,Free to Play;Massively Multiplayer;RPG Multi-player;MMO;Co-op;Steam Achievements Free to Play;Superhero;Massively Multiplayer
Star Trek Online,Free to Play;Massively Multiplayer;RPG Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases Free to Play;Sci-fi;Space
Blade Kitten,Action;Adventure Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Anime;Platformer;Female Protagonist
Haunted House™,Adventure Single-player;Partial Controller Support Adventure
Star Raiders,Action Single-player;Partial Controller Support Action;Space
The UnderGarden,Casual Single-player Casual;Puzzle;Relaxing
Call of Duty: World at War,Action Single-player;Multi-player;Co-op Zombies;World War II;FPS
King's Quest™ Collection,Adventure Single-player Adventure;Point & Click;Classic
Space Quest™ Collection,Adventure Single-player Adventure;Point & Click;Classic
Aces of the Galaxy™,Action;Casual Single-player Action;Casual;Space
TimeShift™,Action Single-player;Multi-player Action;FPS;Time Manipulation
3D Ultra™ Minigolf Adventures,Sports Single-player Sports;Mini Golf;Golf
Prototype™,Action;Adventure Single-player Action;Open World;Adventure
Call of Duty®: Modern Warfare® 2,Action Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Postal III,Action Single-player;Steam Achievements Action;Dark Humor;Gore
Dead Mountaineer's Hotel,Adventure Single-player Adventure;Point & Click
A Stroke of Fate: Operation Valkyrie,Adventure Single-player Adventure;Point & Click
PT Boats: Knights of the Sea,Simulation Single-player;Multi-player Simulation;Naval
PT Boats: South Gambit,Simulation Single-player;Multi-player Simulation;Naval
Disciples III: Reincarnation,RPG;Strategy Single-player;Multi-player RPG;Turn-Based Strategy;Strategy
The Club™,Action Single-player;Multi-player;Partial Controller Support Action;Third-Person Shooter;Arcade
Total War: EMPIRE – Definitive Edition,Strategy Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats Strategy;Historical;Military
Aliens vs. Predator™,Action Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards Action;FPS;Aliens
TrackMania Nations Forever,Racing Single-player;Multi-player;Includes level editor Racing;Free to Play;Multiplayer
Sherlock Holmes - Nemesis,Adventure;RPG Single-player Adventure;Detective;Point & Click
Dracula Origin,Adventure Single-player Adventure;Point & Click;Vampire
Sherlock Holmes: The Mystery of the Mummy,Adventure Single-player Adventure;Point & Click;Detective
Sherlock Holmes: The Awakened - Remastered Edition,Adventure Single-player Adventure;Point & Click;Lovecraftian
Sherlock Holmes: The Silver Earring,Adventure Single-player Adventure;Point & Click;Detective
Sherlock Holmes versus Jack the Ripper,Adventure;RPG Single-player Adventure;Point & Click;Detective
Shadowgrounds Survivor,Action Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor Action;Sci-fi;Isometric
Gumboy Tournament,Casual;Indie;Racing Single-player;Multi-player Indie;Casual;Racing
Space Trader: Merchant Marine,Action;Indie;Strategy Single-player;Multi-player;Co-op;Steam Achievements Action;Space;FPS
Pacific Storm,Simulation;Strategy Single-player;Multi-player;Steam Trading Cards Strategy;Simulation;World War II
Pacific Storm Allies,Simulation;Strategy Single-player;Multi-player;Steam Trading Cards Simulation;Strategy;World War II
Penguins Arena: Sedna's World,Action;Casual;Indie Single-player;Multi-player;Online Multi-Player;Steam Trading Cards Action;Casual;Indie
Obulis,Casual;Indie Single-player;Steam Achievements Puzzle;Casual;Indie
Larva Mortus,Action;Indie Single-player;Steam Achievements Action;Indie;Top-Down
Chains,Indie Single-player Indie;Puzzle;Physics
Overlord™,RPG Single-player;Partial Controller Support RPG;Villain Protagonist;Third Person
Soldiers: Heroes of World War II,Strategy Single-player;Multi-player;Co-op Strategy;World War II;RTS
Maelstrom: The Battle for Earth Begins,Strategy Single-player Strategy;RTS
Hospital Tycoon,Simulation Single-player Simulation;Management;Singleplayer
Grand Theft Auto III,Action Single-player;Partial Controller Support Open World;Action;Classic
Grand Theft Auto: Vice City,Action Single-player;Partial Controller Support Open World;Action;1980s
Grand Theft Auto: San Andreas,Action Single-player Open World;Action;Multiplayer
