name,combined_features
Manhunt,Action Single-player Gore;Violent;Stealth
Max Payne,Action Single-player Noir;Action;Classic
Max Payne 2: The Fall of Max Payne,Action Single-player Noir;Action;Third-Person Shooter
Grand Theft Auto,Action Single-player Action;Classic;Open World
Grand Theft Auto 2,Action Single-player Action;Classic;Open World
Bully: Scholarship Edition,Action;Adventure Single-player;Partial Controller Support Open World;Action;Adventure
Grand Theft Auto IV,Action;Adventure Single-player;Multi-player;Partial Controller Support Open World;Action;Bowling
Grand Theft Auto: Episodes from Liberty City,Action Single-player;Multi-player Open World;Action;Multiplayer
Culpa Innata,RPG;Casual;Adventure Single-player Adventure;RPG;Sci-fi
Sacred Gold,Action;RPG Single-player RPG;Action;Hack and Slash
Darkstar One,Action Single-player Action;Space;Sci-fi
Jack Keane,Adventure Single-player;Steam Trading Cards Adventure;Point & Click;Comedy
FlatOut: Ultimate Carnage,Racing Single-player;Multi-player Racing;Destruction;Multiplayer
Exodus from the Earth ,Action Single-player;Multi-player;Partial Controller Support Action;FPS;Shooter
Perimeter 2: New Earth,Strategy Single-player;Multi-player Strategy;RTS
SlamIt Pinball Big Score,Casual Single-player Casual;Pinball
Ankh 2: Heart of Osiris ,Adventure Single-player Adventure;Point & Click;Comedy
Ankh 3: Battle of the Gods,Adventure Single-player Adventure;Point & Click
BC Kings,Strategy Single-player;Multi-player Strategy;RTS
Port Royale 2,Strategy Single-player Strategy;Trading;Pirates
9th Company: Roots Of Terror,Strategy Single-player Strategy;RTS;Military
PuzzleQuest: Challenge of the Warlords,Casual Single-player;Multi-player;Steam Cloud Puzzle;Match 3;Casual
Prison Tycoon 3™: Lockdown,Strategy Single-player Strategy;Simulation
18 Wheels of Steel: American Long Haul,Racing Single-player Simulation;Racing;Driving
Hunting Unlimited™ 2008,Action;Adventure;Strategy Single-player Action;Strategy;Adventure
Mahjongg Investigations: Under Suspicion,Casual Single-player Casual;Puzzle
Ride! Carnival Tycoon,Simulation Single-player Simulation;Management
Sprint Cars Road to Knoxville,Racing Single-player;Multi-player Racing
Midnight Outlaw: 6 Hours to SunUp,Racing Single-player Racing
Drakensang,RPG Single-player RPG;Fantasy;Party-Based RPG
Mission Runway,Simulation Single-player Simulation;Casual
Overlord™: Raising Hell,RPG Single-player;Partial Controller Support RPG;Action;Villain Protagonist
Rise of the Argonauts,RPG Single-player;Full controller support RPG;Action;Adventure
Damnation,Action;Adventure Single-player;Multi-player;Co-op Action;Adventure;Steampunk
Overlord II,RPG Single-player RPG;Villain Protagonist;Fantasy
Operation Flashpoint: Dragon Rising,Action Single-player;Partial Controller Support Action;FPS;Tactical
Ninja Reflex: Steamworks Edition,Casual;Indie Single-player;Multi-player;Steam Achievements Indie;Casual;Ninja
America's Army 3,Action Single-player;Multi-player;Steam Achievements;Steam Cloud Action;Free to Play;FPS
Unreal 2: The Awakening,Action Single-player Action;FPS;Sci-fi
Unreal Tournament 3 Black,Action Single-player;Multi-player;Co-op;Steam Achievements FPS;Action;Multiplayer
Unreal Tournament 2004: Editor's Choice Edition,Action Single-player;Multi-player;Steam Trading Cards FPS;Arena Shooter;Action
Unreal Tournament: Game of the Year Edition,Action Single-player;Multi-player Classic;FPS;Action
Unreal Gold,Action Single-player;Multi-player Classic;FPS;Action
Prince of Persia: Warrior Within™,Action;Adventure Single-player Action;Adventure;Parkour
Far Cry®,Action Single-player FPS;Action;Classic
Prince of Persia: The Two Thrones™,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Platformer
Tom Clancy's Rainbow Six® Vegas,Action Single-player;Multi-player Action;FPS;Tactical
Tom Clancy's Splinter Cell®,Action Single-player Stealth;Action;Third Person
Tom Clancy's Splinter Cell Chaos Theory®,Action Single-player Stealth;Action;Third Person
Tom Clancy's Splinter Cell Double Agent®,Action Single-player Stealth;Action;Third Person
Prince of Persia®: The Sands of Time,Action;Adventure Single-player Action;Adventure;Parkour
Tom Clancy's Ghost Recon® Desert Siege™,Action Single-player;Multi-player Action;FPS;Tactical
Tom Clancy's Rainbow Six Lockdown™,Action Single-player;Multi-player Action;FPS;Tactical
Rayman Raving Rabbids™,Action;Adventure Single-player Adventure;Action;Psychological Horror
Assassin's Creed™: Director's Cut Edition,Action;Adventure Single-player;Partial Controller Support Action;Adventure;Open World
Tom Clancy's Rainbow Six® Vegas 2,Action Single-player;Multi-player;Co-op Action;Tactical;FPS
Beyond Good and Evil™,Action;Adventure Single-player Adventure;Female Protagonist;Action
Petz® Horsez® 2,Simulation Single-player Simulation;Horses;Family Friendly
Heroes of Might & Magic V,Strategy Single-player Strategy;Turn-Based Strategy;Fantasy
Brothers in Arms: Road to Hill 30™,Action Single-player Action;FPS;World War II
Silent Hunter®: Wolves of the Pacific,Simulation Single-player;Multi-player Simulation;Submarine;World War II
Silent Hunter® III,Simulation Single-player;Multi-player;Co-op Simulation;Naval;World War II
Silent Hunter®: Wolves of the Pacific U-Boat Missions,Simulation Single-player;Multi-player Simulation;Submarine;World War II
Cold Fear™,Action Single-player Horror;Action;Survival Horror
Tom Clancy's Ghost Recon®,Action Single-player;Co-op Tactical;FPS;Action
IL-2 Sturmovik: 1946,Simulation Single-player;Multi-player;Steam Cloud;Includes level editor Simulation;Flight;World War II
Heroes of Might & Magic V: Tribes of the East,Strategy Single-player Strategy;Turn-Based Strategy;Turn-Based
Heroes of Might & Magic V: Hammers of Fate,Strategy Single-player Strategy;Turn-Based Strategy;Turn-Based
Brothers in Arms: Hell's Highway™,Action Single-player Action;World War II;FPS
Harvest: Massive Encounter,Strategy;Indie Single-player;Steam Achievements Strategy;Indie;Tower Defense
The Wonderful End of the World,Indie;Casual Single-player;Steam Achievements;Partial Controller Support Indie;Casual;Action
AaAaAA!!! - A Reckless Disregard for Gravity,Action;Indie;Sports Single-player;Steam Achievements;Steam Leaderboards Action;Indie;First-Person
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Action;Indie;Sports Single-player;Steam Achievements;Full controller support;Steam Leaderboards Indie;Action;First-Person
"Warhammer 40,000: Dawn of War II",Strategy Single-player;Multi-player;Co-op;Steam Trading Cards;Steam Cloud Strategy;Warhammer 40K;RTS
Oddworld: Abe's Oddysee®,Adventure Single-player;Steam Trading Cards Adventure;Platformer;Classic
Oddworld: Abe's Exoddus®,Adventure Single-player Adventure;Platformer;2D
Oddworld: Munch's Oddysee,Action;Adventure;Strategy Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Adventure;Action;Strategy
Oddworld: Stranger's Wrath HD,Action;Adventure;Strategy Single-player;Steam Achievements Adventure;Action;Singleplayer
Planet Busters,Indie;Casual Single-player;Steam Achievements;Partial Controller Support Indie;Casual
7 Wonders II,Casual Single-player Casual;Puzzle;Match 3
Luxor Amun Rising,Casual Single-player Casual
Luxor 2,Casual Single-player Casual
Luxor 3,Casual Single-player Casual;Match 3;Puzzle
Little Farm,Casual Single-player Casual;Agriculture;Puzzle
Luxor,Casual Single-player Casual;Match 3
Discovery! A Seek and Find Adventure,Casual Single-player Casual;Hidden Object
Samantha Swift and the Hidden Roses of Athena,Casual Single-player Casual;Hidden Object;Adventure
7 Wonders: Treasures of Seven,Casual Single-player Casual;Match 3;Puzzle
Luxor: Quest for the Afterlife ,Casual Single-player Casual;Puzzle;Match 3
Samantha Swift and the Golden Touch,Casual Single-player Casual;Hidden Object;Adventure
Virtual Villagers: A New Home,Casual;Simulation Single-player Casual;Simulation
Virtual Villagers: The Lost Children,Casual;Simulation Single-player Casual;Simulation
Plant Tycoon,Casual;Simulation Single-player Casual;Simulation;Management
Fish Tycoon,Casual;Simulation Single-player Casual;Simulation;Management
Virtual Villagers - The Secret City,Casual;Simulation Single-player Casual;Simulation
Virtual Families,Casual;Simulation Single-player Simulation;Casual
F.E.A.R. 2: Project Origin,Action Single-player;Multi-player Horror;FPS;Action
Chaos Theory,Casual;Indie Single-player;Steam Achievements Indie;Casual;Puzzle
Trials 2: Second Edition,Indie;Racing;Sports Single-player;Multi-player;Steam Achievements Racing;Indie;Sports
Monster Trucks Nitro ,Indie;Racing;Sports Single-player Racing;Indie;Sports
Insecticide Part 1,Action;Adventure Single-player Adventure;Action;Female Protagonist
Velvet Assassin,Action Single-player;Partial Controller Support Stealth;Action;Female Protagonist
Legendary,Action Single-player Action;FPS;Shooter
Sid Meier's Civilization IV: Colonization,Strategy Single-player;Multi-player Strategy;Turn-Based;Turn-Based Strategy
GROUND BRANCH,Action;Indie;Early Access Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support Early Access;Indie;Tactical
Tribes: Ascend,Action;Free to Play Multi-player;Co-op Free to Play;FPS;Action
Children of the Nile: Enhanced Edition,Strategy;Simulation Single-player;Steam Achievements City Builder;Historical;Management
Children of the Nile: Alexandria,Strategy;Simulation Single-player;Steam Achievements City Builder;Simulation;Management
Hinterland,RPG;Strategy Single-player;Steam Achievements Strategy;RPG;Fantasy
Mosby's Confederacy,Strategy Single-player;Steam Achievements Strategy;Historical
Crysis,Action Single-player FPS;Action;Sci-fi
Crysis Warhead®,Action Single-player Action;FPS;Sci-fi
SPORE™,Simulation Single-player Simulation;Sandbox;Open World
Mirror's Edge™,Action;Adventure Single-player;Full controller support;Partial Controller Support Parkour;First-Person;Action
Need for Speed Undercover,Action;Racing Single-player;Multi-player;Partial Controller Support Racing;Open World;Multiplayer
SPORE™ Creepy & Cute Parts Pack,Simulation Single-player Simulation;Adventure;Open World
Dragon Age: Origins,RPG Single-player RPG;Fantasy;Story Rich
Mass Effect,Action;RPG Single-player RPG;Sci-fi;Story Rich
Dead Space,Action Single-player;Full controller support Horror;Action;Sci-fi
Command & Conquer: Red Alert 3,Strategy Single-player Strategy;RTS;Base-Building
Zombie Panic! Source,Action;Free to Play;Indie Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK Free to Play;Zombies;Multiplayer
"Pirates, Vikings, and Knights II",Action;Free to Play;Indie Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK Free to Play;Multiplayer;Action
Nuclear Dawn,Action;Strategy Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor Strategy;FPS;Action
Empires Mod,Action;Free to Play;Strategy Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK Free to Play;Strategy;Action
"Precipice of Darkness, Episode One",Adventure;RPG Single-player;Steam Achievements RPG;Adventure;Comedy
"Precipice of Darkness, Episode Two",Adventure;RPG Single-player;Steam Achievements RPG;Adventure;Comedy
DeathSpank,Action;Indie;RPG Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards RPG;Action;Indie
DeathSpank: Thongs of Virtue,Action;RPG;Indie Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;RPG;Indie
The Baconing,Action;Adventure;RPG Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards RPG;Action;Adventure
Unstoppable Gorg,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards Tower Defense;Strategy;Indie
Spectraball,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Casual;Indie;Puzzle
Crazy Machines 2,Casual;Strategy Single-player;Steam Trading Cards Casual;Strategy;Puzzle
Crazy Machines,Casual;Strategy Single-player Casual;Strategy;Puzzle
Helldorado,Strategy Single-player Strategy;Western
Mata Hari,Adventure Single-player Adventure;Point & Click;Female Protagonist
Defense Grid: The Awakening,Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards Tower Defense;Strategy;Sci-fi
Mayhem Intergalactic,Indie;Strategy Single-player;Multi-player;Steam Achievements Indie;Strategy
And Yet It Moves,Action;Indie Single-player;Steam Achievements;Partial Controller Support Platformer;Indie;Puzzle
Zero Gear,Action;Indie;Racing;Sports Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats Racing;Indie;Action
Silent Hill Homecoming,Adventure Single-player Horror;Adventure;Survival Horror
Puzzle Chronicles,Casual;RPG Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud RPG;Casual;Puzzle
Rocket Knight,Action;Adventure Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;Adventure;Platformer
Biozone,Action;Adventure;Casual Single-player Action;Adventure;Casual
Tank Universal,Action;Indie Single-player;Steam Achievements Action;Indie;Tanks
Space Ark,Action;Indie;Casual Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards Action;Casual;Indie
Eternity's Child,Adventure;Indie Single-player;Steam Achievements;Partial Controller Support;Includes level editor Indie;Adventure;Platformer
Brothers in Arms: Earned in Blood™,Action Single-player Action;FPS;World War II
Tom Clancy's Rainbow Six® 3 Gold,Action Single-player Tactical;FPS;Action
Far Cry® 2: Fortune's Edition,Action Single-player;Multi-player Open World;FPS;Action
Prince of Persia®,Action;Adventure Single-player Action;Adventure;Platformer
Galactic Bowling,Indie;Casual;Sports Single-player;Multi-player;Steam Achievements;Partial Controller Support Indie;Casual;Sports
S.T.A.L.K.E.R.: Clear Sky,Action;RPG Single-player;Multi-player Open World;Atmospheric;Post-apocalyptic
Red Faction,Action Single-player;Multi-player;Steam Cloud Action;FPS;Sci-fi
Company of Heroes: Tales of Valor,Strategy Single-player;Multi-player;Steam Cloud Strategy;RTS;World War II
Red Faction II,Action;Strategy Single-player;Steam Cloud Action;FPS;Strategy
"Warhammer® 40,000: Dawn of War® II Chaos Rising",Strategy Single-player;Multi-player;Co-op;Steam Cloud Strategy;Warhammer 40K;RTS
Starscape,Action;Indie;Strategy Single-player;Steam Achievements Action;Indie;Strategy
Mr. Robot,Action;Indie;Strategy Single-player;Steam Achievements Indie;Strategy;Action
Shatter,Action;Indie Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards Great Soundtrack;Indie;Arcade
The Witcher: Enhanced Edition Director's Cut,Action;RPG Single-player;Steam Cloud RPG;Fantasy;Story Rich
The Witcher 2: Assassins of Kings Enhanced Edition,RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards RPG;Fantasy;Mature
LEGO® Batman™: The Videogame,Action;Adventure Single-player;Shared/Split Screen;Full controller support LEGO;Action;Adventure
Watchmen: The End is Nigh,Action Single-player;Multi-player;Shared/Split Screen Action;Superhero;Beat 'em up
